categoria,clase,nombre
3111000,3110000,Semillas
3112000,3110000,Tabaco sin elaborar
3113000,3110000,Plantas utilizadas para la fabricación de azúcar
3114000,3110000,Paja y plantas forrajeras
3115000,3110000,Materias vegetales en bruto
3116000,3110000,Caucho y látex naturales y productos afines
3117000,3110000,Plantas utilizadas para usos específicos
3121000,3120000,Productos de horticultura
3131000,3130000,Cultivos de plantas para bebidas
3132000,3130000,Especias no manufacturadas
3141000,3140000,Semen de toro
3142000,3140000,Productos de origen animal
3143000,3140000,Productos de cultivo mixto
3144000,3140000,Productos para la agricultura
3211000,3210000,Cereales
3212000,3210000,Patatas y legumbres secas
3221000,3220000,Hortalizas
3222000,3220000,Frutas y frutos de cáscara
3311000,3310000,Pescado
3312000,3310000,Crustáceos
3313000,3310000,Productos acuáticos
3321000,3320000,Ganado bovino
3322000,3320000,Ganado no bovino
3323000,3320000,Cerdos
3324000,3320000,Aves de corral vivas
3325000,3320000,Animales pequeños
3331000,3330000,Leche fresca de oveja y de cabra
3332000,3330000,Lana y pelo de animales
3333000,3330000,Leche fresca de vaca
3341000,3340000,Marcas auriculares para ganado bovino
3411000,3410000,Madera de coníferas
3412000,3410000,Madera de especies tropicales
3413000,3410000,Madera para calefacción
3414000,3410000,Madera en bruto
3415000,3410000,Madera blanda
3416000,3410000,Residuos de madera
3417000,3410000,Madera de desecho
3418000,3410000,Troncos
3419000,3410000,Madera de construcción
3421000,3420000,Bálsamos
3422000,3420000,Laca
3431000,3430000,Corcho natural
3432000,3430000,Artículos de cestería
3441000,3440000,"Plantas, hierbas, musgos o líquenes para uso ornamental"
3451000,3450000,Plantas
3452000,3450000,Árboles
3461000,3460000,Pasta de madera
9111000,9110000,Carbón y combustibles derivados del carbón
9112000,9110000,Lignito y turba
9113000,9110000,Coque
9121000,9120000,"Gas de hulla, gas de red o gases similares"
9122000,9120000,Propano y butano
9123000,9120000,Gas natural
9131000,9130000,Queroseno de aviación
9132000,9130000,Gasolina
9133000,9130000,Gas licuado del petróleo (GLP)
9134000,9130000,Gasóleos
9135000,9130000,Aceites combustibles
9211000,9210000,Aceites lubricantes y agentes lubricantes
9221000,9220000,Vaselina y ceras de petróleo
9222000,9220000,Gasolinas especiales
9241000,9240000,Esquistos bituminosos o petrolíferos
9242000,9240000,Productos derivados del carbón
9321000,9320000,Agua caliente
9322000,9320000,Vapor
9323000,9320000,Calefacción urbana
9324000,9320000,Calefacción a larga distancia
9331000,9330000,Placas solares
9332000,9330000,Instalación solar
9341000,9340000,Uranio
9342000,9340000,Plutonio
9343000,9340000,Materiales radiactivos
9344000,9340000,Radioisótopos
14211000,14210000,Arena
14212000,14210000,"Gránulos, gravilla, polvo de piedra, guijarros, grava, piedras partidas y machacadas, mezclas de piedra, mezclas arena-grava y demás agregados"
14213000,14210000,"Macadán, macadán bituminoso y arenas bituminosas"
14221000,14220000,Arcilla
14222000,14220000,Caolín
14311000,14310000,"Calcio natural, fosfato aluminocálcico y sales de potasio natural en bruto"
14312000,14310000,Piritas de hierro
14521000,14520000,Piedras preciosas y semipreciosas
14522000,14520000,Diamantes industriales; piedra pómez; esmeril; y otros abrasivos naturales
14523000,14520000,"Minerales conexos, metales preciosos y productos afines"
14611000,14610000,Minerales de hierro
14612000,14610000,Minerales metálicos no ferrosos
14613000,14610000,Minerales de uranio y torio
14614000,14610000,Minerales diversos
14621000,14620000,Ferroaleaciones
14622000,14620000,Acero
14711000,14710000,Hierro
14712000,14710000,Plomo
14713000,14710000,Zinc
14714000,14710000,Estaño
14715000,14710000,Cobre
14721000,14720000,Aluminio
14722000,14720000,Níquel
14723000,14720000,Escandio
14724000,14720000,Titanio
14725000,14720000,Vanadio
14731000,14730000,Cromo
14732000,14730000,Manganeso
14733000,14730000,Cobalto
14734000,14730000,Itrio
14735000,14730000,Circonio
14741000,14740000,Molibdeno
14742000,14740000,Tecnecio
14743000,14740000,Rutenio
14744000,14740000,Rodio
14751000,14750000,Cadmio
14752000,14750000,Lutecio
14753000,14750000,Hafnio
14754000,14750000,Tantalio
14755000,14750000,Wolframio
14761000,14760000,Iridio
14762000,14760000,Galio
14763000,14760000,Indio
14764000,14760000,Talio
14765000,14760000,Bario
14771000,14770000,Cesio
14772000,14770000,Estroncio
14773000,14770000,Rubidio
14774000,14770000,Calcio
14781000,14780000,Potasio
14782000,14780000,Magnesio
14783000,14780000,Sodio
14784000,14780000,Litio
14791000,14790000,Niobio
14792000,14790000,Osmio
14793000,14790000,Renio
14794000,14790000,Paladio
14811000,14810000,"Muelas, piedras y ruedas de amolar"
14812000,14810000,Abrasivos en polvo o en grano
14813000,14810000,Corindón artificial
14814000,14810000,Grafito artificial
15111000,15110000,Carne de bovino
15112000,15110000,Aves de corral
15113000,15110000,Carne de cerdo
15114000,15110000,Despojos
15115000,15110000,Cordero y carnero
15117000,15110000,Carne de cabra
15118000,15110000,"Carne de caballo, asno, mulo o burdégano"
15119000,15110000,Carnes diversas
15131000,15130000,Conservas y preparaciones cárnicas
15211000,15210000,Filetes de pescado
15212000,15210000,Huevas
15213000,15210000,Hígados de pescado
15221000,15220000,Pescado congelado
15229000,15220000,Productos congelados de pescados
15231000,15230000,Pescado seco
15232000,15230000,Pescado salado
15233000,15230000,Pescado en salmuera
15234000,15230000,Pescado ahumado
15235000,15230000,Conservas de pescado
15241000,15240000,"Pescado empanado, en conserva o en lata"
15242000,15240000,Platos de pescado preparados
15243000,15240000,Preparaciones a base de pescado
15244000,15240000,Caviar y huevos de peces
15251000,15250000,Crustáceos congelados
15252000,15250000,Crustáceos preparados o en conserva
15253000,15250000,Productos a base de moluscos
15311000,15310000,Patatas congeladas
15312000,15310000,Productos a base de patatas
15313000,15310000,Patatas elaboradas
15321000,15320000,Zumos de frutas
15322000,15320000,Zumos de hortalizas
15331000,15330000,Legumbres y hortalizas elaboradas
15332000,15330000,Frutas y frutos de cáscara elaborados
15333000,15330000,Subproductos de hortalizas
15411000,15410000,Aceites animales o vegetales
15412000,15410000,Grasas
15413000,15410000,Residuos sólidos de grasas o aceites vegetales
15421000,15420000,Aceites refinados
15422000,15420000,Grasas refinadas
15423000,15420000,Grasas o aceites hidrogenados o esterificados
15424000,15420000,Ceras vegetales
15431000,15430000,Margarina y preparaciones similares
15511000,15510000,Leche
15512000,15510000,Nata (crema)
15541000,15540000,Queso de mesa
15542000,15540000,Queso fresco
15543000,15540000,"Queso rallado, en polvo, de pasta azul y otros quesos"
15544000,15540000,Queso de pasta dura
15545000,15540000,Quesos para untar
15551000,15550000,Yogur y otros productos lácteos fermentados
15552000,15550000,Caseína
15553000,15550000,Lactosa o jarabe de lactosa
15554000,15550000,Suero de leche
15555000,15550000,Helados y productos similares
15611000,15610000,Arroz descascarillado
15612000,15610000,Harina de cereales o legumbres y productos conexos
15613000,15610000,Productos a base de granos de cereales
15614000,15610000,Arroz elaborado
15615000,15610000,Salvado
15621000,15620000,Aceite de maíz
15622000,15620000,Glucosa y productos a base de glucosa; fructosa y productos a base de fructosa
15623000,15620000,Almidones y féculas
15624000,15620000,Tapioca
15625000,15620000,Sémola
15626000,15620000,Natillas en polvo
15711000,15710000,Alimentos para peces
15712000,15710000,Pienso seco
15713000,15710000,Alimentos para animales domésticos
15811000,15810000,Productos a base de pan
15812000,15810000,Pasteles y productos de pastelería
15813000,15810000,Productos para el desayuno
15821000,15820000,Productos de pan tostado y de pastelería
15831000,15830000,Azúcar
15832000,15830000,Residuos de la industria azucarera
15833000,15830000,Productos del azúcar
15841000,15840000,Cacao
15842000,15840000,Chocolate y artículos de confitería
15851000,15850000,Productos farináceos
15861000,15860000,Café
15862000,15860000,Sucedáneos del café
15863000,15860000,Té
15864000,15860000,Preparaciones de té o de mate
15865000,15860000,Infusiones de hierbas
15871000,15870000,Vinagre; salsas; condimentos compuestos; harina y polvo de mostaza; mostaza preparada
15872000,15870000,Hierbas y especias
15881000,15880000,Preparaciones alimenticias homogeneizadas
15882000,15880000,Productos dietéticos
15884000,15880000,Alimentos infantiles
15891000,15890000,Sopas y caldos
15892000,15890000,"Jugos y extractos vegetales, sustancias pépticas y espesantes"
15893000,15890000,Productos secos
15894000,15890000,Productos alimenticios elaborados
15895000,15890000,Productos para comida rápida
15896000,15890000,Productos congelados
15897000,15890000,Productos enlatados y raciones de campaña
15898000,15890000,Levadura
15899000,15890000,Polvos para hornear
15911000,15910000,Bebidas espirituosas
15931000,15930000,Vinos no aromatizados
15932000,15930000,Heces de vino
15941000,15940000,Sidra
15942000,15940000,Vinos a base de fruta
15951000,15950000,Vermut
15961000,15960000,Cerveza
15962000,15960000,Heces de cervecería o destilería
15981000,15980000,Agua mineral
15982000,15980000,Refrescos
15991000,15990000,Productos de tabaco
15992000,15990000,Tabaco
15993000,15990000,Artículos de estanco
15994000,15990000,Papel de fumar y papel de filtro
16141000,16140000,Distribuidores de abono
16311000,16310000,Cortadoras de césped
16331000,16330000,Prensas recogedoras
16611000,16610000,Máquinas para lavar productos agrícolas
16612000,16610000,Máquinas para seleccionar o clasificar productos agrícolas
16613000,16610000,"Máquinas para la limpieza o la clasificación de semillas, granos o legumbres secas"
16651000,16650000,"Incubadoras y criadoras, para la avicultura"
18113000,18110000,Prendas de vestir para uso industrial
18114000,18110000,Monos
18132000,18130000,Ropa de vuelo
18141000,18140000,Guantes de trabajo
18142000,18140000,Viseras de seguridad
18143000,18140000,Indumentaria de protección
18211000,18210000,Capas
18212000,18210000,Capotes
18213000,18210000,Chaquetones cortavientos
18221000,18220000,Ropa impermeable
18222000,18220000,Indumentaria corporativa
18223000,18220000,Chaquetas y chaquetas deportivas
18224000,18220000,Prendas de vestir confeccionadas de tejidos impregnados o recubiertos
18231000,18230000,Vestidos
18232000,18230000,Faldas
18233000,18230000,Pantalones cortos
18234000,18230000,Pantalones
18235000,18230000,"Jerseys, cárdigans y artículos similares"
18311000,18310000,Combinaciones
18312000,18310000,Calzoncillos
18313000,18310000,Bragas
18314000,18310000,Albornoces
18315000,18310000,Medias
18316000,18310000,Leotardos
18317000,18310000,Calcetines
18318000,18310000,Ropa de dormir
18321000,18320000,Sostenes
18322000,18320000,Corsés
18323000,18320000,Ligas
18331000,18330000,Camisetas
18332000,18330000,Camisas
18333000,18330000,Polos
18411000,18410000,Prendas para bebés
18412000,18410000,Ropa deportiva
18421000,18420000,Pañuelos
18422000,18420000,Bufandas
18423000,18420000,Corbatas
18424000,18420000,Guantes
18425000,18420000,Cinturones
18441000,18440000,Sombreros
18443000,18440000,Artículos y complementos de sombrerería
18444000,18440000,Tocados de protección
18451000,18450000,Botones
18452000,18450000,Imperdibles
18453000,18450000,Cremalleras
18511000,18510000,Piedras preciosas para joyería
18512000,18510000,Monedas y medallas
18513000,18510000,Artículos de joyería
18521000,18520000,Relojes de pulsera o de bolsillo
18522000,18520000,Relojes de pulsera
18523000,18520000,Cronómetros
18611000,18610000,Pieles finas
18612000,18610000,Prendas de vestir de piel
18613000,18610000,Artículos de piel artificial
18811000,18810000,Calzado impermeable
18812000,18810000,Calzado con partes de caucho o de plástico
18813000,18810000,Calzado con pala de cuero
18814000,18810000,Calzado con pala de materiales textiles
18815000,18810000,Botas
18816000,18810000,Chanclos
18821000,18820000,Calzado de esquí
18822000,18820000,Zapatillas de entrenamiento
18823000,18820000,"Botas media montaña, de serraje"
18824000,18820000,Botas de fútbol
18831000,18830000,Calzado con puntera metálica de protección
18832000,18830000,Calzado especial
18841000,18840000,Palas de calzado
18842000,18840000,Suelas
18843000,18840000,Tacones
18911000,18910000,Sillas de montar
18912000,18910000,Fustas
18913000,18910000,Látigos
18921000,18920000,Maletas
18923000,18920000,Bolsas y billeteros
18924000,18920000,Baúles
18925000,18920000,Portacantimploras y fundas
18929000,18920000,Neceseres
18931000,18930000,Sacos de viaje
18932000,18930000,Bolsas de deporte
18933000,18930000,Sacas y bolsas para correo
18934000,18930000,Macutos
18935000,18930000,Bolsas para ropa sucia
18936000,18930000,Bolsas textiles
18937000,18930000,Sacos para embalaje
18938000,18930000,Sobres acolchados
18939000,18930000,Bolsos de mano
19131000,19130000,Piel de oveja o cordero
19132000,19130000,Piel de cabra o cabritilla
19133000,19130000,Cuero de cerdo
19141000,19140000,Cuero de otros animales
19142000,19140000,Cuero artificial o regenerado
19143000,19140000,Cuero de imitación
19144000,19140000,Charol
19211000,19210000,Tejidos sintéticos
19212000,19210000,Tejidos de algodón
19231000,19230000,Ropa blanca
19241000,19240000,Terciopelo y felpa
19242000,19240000,Tejido de toalla con bucles
19243000,19240000,Tejidos para tapicería
19244000,19240000,Tejidos para cortinas
19245000,19240000,Tejidos de revestimiento
19251000,19250000,Tejidos de punto
19252000,19250000,Tejidos de ganchillo
19281000,19280000,Lana
19282000,19280000,Pieles de animal
19283000,19280000,Pieles y plumas de aves
19431000,19430000,Hilados de seda
19432000,19430000,Hilados de lana
19433000,19430000,Hilados de algodón
19434000,19430000,Hilados de lino
19435000,19430000,Hilos e hilados de coser de fibras naturales
19436000,19430000,Hilados de fibras textiles vegetales
19441000,19440000,Hilados sintéticos
19442000,19440000,Hilos sintéticos
19511000,19510000,"Cámaras de aire, bandas de rodadura y fajas de protección de la cámara de aire, de caucho"
19512000,19510000,Artículos de caucho sin vulcanizar
19513000,19510000,Tejidos cauchutados
19514000,19510000,Caucho regenerado
19521000,19520000,Productos de poliestireno
19522000,19520000,Resinas
19721000,19720000,Borra de filamentos sintéticos
19722000,19720000,Hilado de alta tenacidad
19723000,19720000,Hilado texturado sencillo
19724000,19720000,Monofilamento sintético
19731000,19730000,Fibras artificiales discontinuas
