code,categoria,nombre
3111100,3111000,Soja
3111200,3111000,Cacahuetes
3111300,3111000,Semillas de girasol
3111400,3111000,Semillas de algodón
3111500,3111000,Semillas de sésamo
3111600,3111000,Semillas de mostaza
3111700,3111000,Semillas de hortalizas
3111800,3111000,Semillas de frutos
3111900,3111000,Semillas de flores
3113100,3113000,Remolacha azucarera
3113200,3113000,Caña de azúcar
3114100,3114000,Paja
3114200,3114000,Plantas forrajeras
3115100,3115000,Materias vegetales en bruto utilizadas en la fabricación de textiles
3115110,3115000,Algodón
3115120,3115000,Yute
3115130,3115000,Lino
3116100,3116000,Caucho natural
3116200,3116000,Látex natural
3116300,3116000,Productos de látex
3117100,3117000,"Plantas utilizadas en perfumería o farmacia, o en la elaboración de insecticidas o con fines análogos"
3117110,3117000,Plantas utilizadas en perfumería
3117120,3117000,Plantas utilizadas en farmacia
3117130,3117000,Plantas utilizadas en la elaboración de insecticidas
3117140,3117000,Plantas utilizadas en la elaboración de pesticidas o fungicidas o con fines análogos
3117200,3117000,Semillas de plantas utilizadas para usos específicos
3121100,3121000,"Plantas vivas, bulbos, raíces y esquejes"
3121200,3121000,Flores cortadas
3121210,3121000,Arreglos florales
3131100,3131000,Café en grano
3131200,3131000,Plantas de té
3131300,3131000,Mate
3131400,3131000,Cacao en grano
3142100,3142000,Miel natural
3142200,3142000,Caracoles
3142300,3142000,Productos comestibles de origen animal
3142400,3142000,Ceras
3142500,3142000,Huevos
3211100,3211000,Trigo
3211110,3211000,Trigo duro
3211120,3211000,Trigo blando
3211200,3211000,Maíz
3211300,3211000,Arroz
3211400,3211000,Cebada
3211500,3211000,Centeno
3211600,3211000,Avena
3211700,3211000,Malta
3211900,3211000,Productos de granos
3212100,3212000,Patatas
3212200,3212000,Legumbres y hortalizas leguminosas secas
3212210,3212000,Leguminosas secas
3212211,3212000,Lentejas
3212212,3212000,Garbanzos
3212213,3212000,Guisantes secos
3212220,3212000,Legumbres
3221100,3221000,Hortalizas de raíz y tubérculo
3221110,3221000,Hortalizas de raíz
3221111,3221000,Remolachas
3221112,3221000,Zanahorias
3221113,3221000,Cebollas
3221114,3221000,Nabos
3221120,3221000,Hortalizas de tubérculo
3221200,3221000,Frutos hortícolas
3221210,3221000,Judías
3221211,3221000,Habas
3221212,3221000,Judías verdes
3221213,3221000,Judías pintas
3221220,3221000,Guisantes
3221221,3221000,Guisantes de huerta
3221222,3221000,Guisantes mollares
3221230,3221000,Pimientos
3221240,3221000,Tomates
3221250,3221000,Calabacines
3221260,3221000,Champiñones
3221270,3221000,Pepinos
3221300,3221000,Hortalizas de hoja
3221310,3221000,Lechuga
3221320,3221000,Hojas para ensalada
3221330,3221000,Alcachofas
3221340,3221000,Espinacas
3221400,3221000,Coles
3221410,3221000,Repollos
3221420,3221000,Coliflores
3221430,3221000,Brécoles
3221440,3221000,Coles de Bruselas
3222100,3222000,Frutas y frutos de cáscara tropicales
3222110,3222000,Frutas tropicales
3222111,3222000,Plátanos
3222112,3222000,Piñas
3222113,3222000,Mangos
3222114,3222000,Dátiles
3222115,3222000,Pasas
3222116,3222000,Higos
3222117,3222000,Aguacates
3222118,3222000,Kiwis
3222120,3222000,Cocos
3222200,3222000,Cítricos
3222210,3222000,Limones
3222220,3222000,Naranjas
3222230,3222000,Pomelos
3222240,3222000,Naranjas tangerinas
3222250,3222000,Limas
3222300,3222000,Frutas no tropicales
3222310,3222000,Bayas
3222311,3222000,Pasas de Corinto
3222312,3222000,Grosellas silvestres
3222313,3222000,Fresas
3222314,3222000,Frambuesas
3222315,3222000,Arándanos
3222320,3222000,"Manzanas, peras y membrillos"
3222321,3222000,Manzanas
3222322,3222000,Peras
3222323,3222000,Membrillos
3222330,3222000,Frutas de hueso
3222331,3222000,Albaricoques
3222332,3222000,Melocotones
3222333,3222000,Cerezas
3222334,3222000,Ciruelas
3222340,3222000,Uvas
3222341,3222000,Uvas de mesa
3222342,3222000,Uvas de vino
3222400,3222000,Aceitunas
3311100,3311000,Pescado plano
3311110,3311000,Lenguado
3311120,3311000,Solla
3311200,3311000,Pescados de la familia del bacalao
3311210,3311000,Bacalao
3311220,3311000,Abadejo
3311230,3311000,Merluza
3311240,3311000,Eglefino
3311300,3311000,Arenque
3311400,3311000,Atún
3311500,3311000,Merlán
3311600,3311000,Morralla
3311700,3311000,Salmón
3312100,3312000,Ostras
3312200,3312000,Moluscos
3312300,3312000,Invertebrados acuáticos
3313100,3313000,Corales o productos similares
3313200,3313000,Esponjas naturales
3313300,3313000,Algas marinas
3313310,3313000,Algas
3321100,3321000,Bovinos adultos
3321200,3321000,Terneros
3322100,3322000,Ovejas
3322200,3322000,Cabras
3322300,3322000,Caballos
3325100,3325000,Conejos
3325200,3325000,Liebres
3331100,3331000,Leche de oveja
3331200,3331000,Leche de cabra
3332100,3332000,Lana de esquila
3332200,3332000,Pelo de animal
3417100,3417000,Serrín
3418100,3418000,Madera dura
3419100,3419000,Productos de madera
3419200,3419000,Madera de mina
3432100,3432000,Artículos de espartería
3451100,3451000,Plantas para trasplantar
3451200,3451000,Bulbos florales
3451300,3451000,Arbustos
3461100,3461000,Pasta química de madera
9111100,9111000,Carbón
9111200,9111000,Combustibles derivados del carbón
9111210,9111000,Antracita
9111220,9111000,Briquetas
9111300,9111000,Combustibles fósiles
9111400,9111000,Combustibles de madera
9112100,9112000,Lignito
9112200,9112000,Turba
9121100,9121000,Gas de hulla o gases similares
9121200,9121000,Gas de red
9122100,9122000,Gas propano
9122110,9122000,Gas propano licuado
9122200,9122000,Gas butano
9122210,9122000,Gas butano licuado
9131100,9131000,Combustibles tipo queroseno para reactores
9132100,9132000,Gasolina sin plomo
9132200,9132000,Gasolina con plomo
9132300,9132000,Gasolina con etanol
9134100,9134000,Gasoil
9134200,9134000,Combustible para motores diésel
9134210,9134000,Combustible para motores diésel (0.2)
9134220,9134000,Combustible para motores diésel (EN 590)
9134230,9134000,Biodiésel
9134231,9134000,Biodiésel (B20)
9134232,9134000,Biodiésel (B100)
9135100,9135000,Petróleo para calefacción
9135110,9135000,Aceites combustibles con bajo contenido de azufre
9211100,9211000,Aceites para motores
9211200,9211000,Aceites para compresores
9211300,9211000,Aceites para turbinas
9211400,9211000,Aceites para engranajes
9211500,9211000,Aceites para reductores
9211600,9211000,Aceites para sistemas hidráulicos y otros usos
9211610,9211000,Líquidos para uso hidráulico
9211620,9211000,Aceites de desmoldado
9211630,9211000,Aceites anticorrosión
9211640,9211000,Aceites para aislamiento eléctrico
9211650,9211000,Líquidos de frenos
9211700,9211000,Aceites blancos y parafinas líquidas
9211710,9211000,Aceites blancos
9211720,9211000,Parafinas líquidas
9211800,9211000,Aceites de petróleo y preparados
9211810,9211000,Aceites ligeros
9211820,9211000,Aceites de petróleo
9211900,9211000,Aceites lubricantes para motores de tracción
9221100,9221000,Vaselina
9221200,9221000,Parafina
9221300,9221000,Cera de petróleo
9221400,9221000,Residuos de petróleo
9222100,9222000,Trementina mineral
9242100,9242000,Aceite de alquitrán
9331100,9331000,Captadores solares para la producción de calor
9331200,9331000,Módulos solares fotovoltaicos
14211100,14211000,Arena natural
14212100,14212000,Guijarros y grava
14212110,14212000,Grava
14212120,14212000,Guijarros
14212200,14212000,Agregados
14212210,14212000,Mezcla arena-grava
14212300,14212000,Piedra partida y machacada
14212310,14212000,Balasto
14212320,14212000,Granito machacado
14212330,14212000,Basalto machacado
14212400,14212000,Suelo
14212410,14212000,Tierra vegetal
14212420,14212000,Subsuelo
14212430,14212000,Gravilla
14213100,14213000,Macadán
14213200,14213000,Macadán bituminoso
14213300,14213000,Arenas bituminosas
14311100,14311000,Calcio natural
14311200,14311000,Fosfatos aluminocálcicos
14311300,14311000,Sales de potasio natural en bruto
14312100,14312000,Piritas de hierro sin tostar
14521100,14521000,Piedras preciosas
14521140,14521000,Polvillo o polvo de piedras preciosas
14521200,14521000,Piedras semipreciosas
14521210,14521000,Polvillo o polvo de piedras semipreciosas
