code|division|grupo|clase|categoria|name|nombre
03000000|03000000|03000000|03000000|03000000|03000000|Productos de la agricultura, ganadería, pesca, silvicultura y productos afines
03100000|03000000|03100000|03100000|03100000|03100000|Productos de la agricultura y horticultura
03110000|03000000|03100000|03110000|03110000|03110000|Cultivos, productos comerciales de jardinería y horticultura
03111000|03000000|03100000|03110000|03111000|03111000|Semillas
03111100|03000000|03100000|03110000|03111000|03111100|Soja
03111200|03000000|03100000|03110000|03111000|03111200|Cacahuetes
03111300|03000000|03100000|03110000|03111000|03111300|Semillas de girasol
03111400|03000000|03100000|03110000|03111000|03111400|Semillas de algodón
03111500|03000000|03100000|03110000|03111000|03111500|Semillas de sésamo
03111600|03000000|03100000|03110000|03111000|03111600|Semillas de mostaza
03111700|03000000|03100000|03110000|03111000|03111700|Semillas de hortalizas
03111800|03000000|03100000|03110000|03111000|03111800|Semillas de frutos
03111900|03000000|03100000|03110000|03111000|03111900|Semillas de flores
03112000|03000000|03100000|03110000|03112000|03112000|Tabaco sin elaborar
03113000|03000000|03100000|03110000|03113000|03113000|Plantas utilizadas para la fabricación de azúcar
03113100|03000000|03100000|03110000|03113000|03113100|Remolacha azucarera
03113200|03000000|03100000|03110000|03113000|03113200|Caña de azúcar
03114000|03000000|03100000|03110000|03114000|03114000|Paja y plantas forrajeras
03114100|03000000|03100000|03110000|03114000|03114100|Paja
03114200|03000000|03100000|03110000|03114000|03114200|Plantas forrajeras
03115000|03000000|03100000|03110000|03115000|03115000|Materias vegetales en bruto
03115100|03000000|03100000|03110000|03115000|03115100|Materias vegetales en bruto utilizadas en la fabricación de textiles
03115110|03000000|03100000|03110000|03115000|03115110|Algodón
03115120|03000000|03100000|03110000|03115000|03115120|Yute
03115130|03000000|03100000|03110000|03115000|03115130|Lino
03116000|03000000|03100000|03110000|03116000|03116000|Caucho y látex naturales y productos afines
03116100|03000000|03100000|03110000|03116000|03116100|Caucho natural
03116200|03000000|03100000|03110000|03116000|03116200|Látex natural
03116300|03000000|03100000|03110000|03116000|03116300|Productos de látex
03117000|03000000|03100000|03110000|03117000|03117000|Plantas utilizadas para usos específicos
03117100|03000000|03100000|03110000|03117000|03117100|Plantas utilizadas en perfumería o farmacia, o en la elaboración de insecticidas o con fines análogos
03117110|03000000|03100000|03110000|03117000|03117110|Plantas utilizadas en perfumería
03117120|03000000|03100000|03110000|03117000|03117120|Plantas utilizadas en farmacia
03117130|03000000|03100000|03110000|03117000|03117130|Plantas utilizadas en la elaboración de insecticidas
03117140|03000000|03100000|03110000|03117000|03117140|Plantas utilizadas en la elaboración de pesticidas o fungicidas o con fines análogos
03117200|03000000|03100000|03110000|03117000|03117200|Semillas de plantas utilizadas para usos específicos
03120000|03000000|03100000|03120000|03120000|03120000|Productos de horticultura y viveros
03121000|03000000|03100000|03120000|03121000|03121000|Productos de horticultura
03121100|03000000|03100000|03120000|03121000|03121100|Plantas vivas, bulbos, raíces y esquejes
03121200|03000000|03100000|03120000|03121000|03121200|Flores cortadas
03121210|03000000|03100000|03120000|03121000|03121210|Arreglos florales
03130000|03000000|03100000|03130000|03130000|03130000|Cultivos de especias y de plantas para bebidas
03131000|03000000|03100000|03130000|03131000|03131000|Cultivos de plantas para bebidas
03131100|03000000|03100000|03130000|03131000|03131100|Café en grano
03131200|03000000|03100000|03130000|03131000|03131200|Plantas de té
03131300|03000000|03100000|03130000|03131000|03131300|Mate
03131400|03000000|03100000|03130000|03131000|03131400|Cacao en grano
03132000|03000000|03100000|03130000|03132000|03132000|Especias no manufacturadas
03140000|03000000|03100000|03140000|03140000|03140000|Productos de origen animal y productos afines
03141000|03000000|03100000|03140000|03141000|03141000|Semen de toro
03142000|03000000|03100000|03140000|03142000|03142000|Productos de origen animal
03142100|03000000|03100000|03140000|03142000|03142100|Miel natural
03142200|03000000|03100000|03140000|03142000|03142200|Caracoles
03142300|03000000|03100000|03140000|03142000|03142300|Productos comestibles de origen animal
03142400|03000000|03100000|03140000|03142000|03142400|Ceras
03142500|03000000|03100000|03140000|03142000|03142500|Huevos
03143000|03000000|03100000|03140000|03143000|03143000|Productos de cultivo mixto
03144000|03000000|03100000|03140000|03144000|03144000|Productos para la agricultura
03200000|03000000|03200000|03200000|03200000|03200000|Cereales, patatas, hortalizas, frutas y frutos de cáscara
03210000|03000000|03200000|03210000|03210000|03210000|Cereales y patatas
03211000|03000000|03200000|03210000|03211000|03211000|Cereales
03211100|03000000|03200000|03210000|03211000|03211100|Trigo
03211110|03000000|03200000|03210000|03211000|03211110|Trigo duro
03211120|03000000|03200000|03210000|03211000|03211120|Trigo blando
03211200|03000000|03200000|03210000|03211000|03211200|Maíz
03211300|03000000|03200000|03210000|03211000|03211300|Arroz
03211400|03000000|03200000|03210000|03211000|03211400|Cebada
03211500|03000000|03200000|03210000|03211000|03211500|Centeno
03211600|03000000|03200000|03210000|03211000|03211600|Avena
03211700|03000000|03200000|03210000|03211000|03211700|Malta
