grupo,division,nombre
3100000,3000000,Productos de la agricultura y horticultura
3200000,3000000,"Cereales, patatas, hortalizas, frutas y frutos de cáscara"
3300000,3000000,"Productos de la ganadería, la caza y la pesca"
3400000,3000000,Productos de la silvicultura y de la explotación forestal
9100000,9000000,Combustibles
9200000,9000000,"Productos del petróleo, del carbón y de aceites minerales"
9300000,9000000,"Electricidad, calefacción, energías solar y nuclear"
14200000,14000000,Arena y arcilla
14300000,14000000,Minerales químicos y abonos minerales
14400000,14000000,Sal y cloruro de sodio puro
14500000,14000000,Productos relacionados con la explotación de minas y canteras
14600000,14000000,Minerales metálicos y aleaciones
14700000,14000000,Metales comunes
14800000,14000000,Productos minerales no metálicos diversos
14900000,14000000,Materias primas secundarias de recuperación
15100000,15000000,"Productos de origen animal, carne y productos cárnicos"
15200000,15000000,Pescado preparado y en conserva
15300000,15000000,"Frutas, legumbres y hortalizas y productos conexos"
15400000,15000000,Aceites y grasas animales o vegetales
15500000,15000000,Productos lácteos
15600000,15000000,"Productos de molinería, almidones y productos de almidón"
15700000,15000000,Alimentos para el ganado
15800000,15000000,Productos alimenticios diversos
15900000,15000000,"Bebidas, tabaco y productos relacionados"
16100000,16000000,"Máquinas, aparatos y artefactos agrícolas, hortícolas o silvícolas, para la preparación o el trabajo del suelo o para el cultivo"
16300000,16000000,Cosechadoras
16400000,16000000,Aparatos de pulverizar para la agricultura o la horticultura
16500000,16000000,"Remolques y semirremolques, autocargadores o autodescargadores, para usos agrícolas"
16600000,16000000,Maquinaria agrícola o forestal especializada
16700000,16000000,Tractores
16800000,16000000,Partes de maquinaria agrícola y forestal
18100000,18000000,"Ropa de trabajo, ropa de trabajo especial y accesorios"
18200000,18000000,Ropa exterior
18300000,18000000,Prendas de vestir
18400000,18000000,Prendas de vestir y accesorios especiales
18500000,18000000,"Joyas, relojes y artículos conexos"
18600000,18000000,Pieles y artículos de piel
18800000,18000000,Calzado
18900000,18000000,"Artículos de viaje, talabartería, sacos y bolsas"
19100000,19000000,Cuero
19200000,19000000,Telas y artículos conexos
19400000,19000000,Hilados e hilos textiles
19500000,19000000,Caucho y plásticos
19600000,19000000,"Residuos de cuero, textiles, de caucho y de plástico"
19700000,19000000,Caucho y fibras sintéticos
22100000,22000000,"Libros impresos, folletos y prospectos"
22200000,22000000,"Periódicos, revistas especializadas, publicaciones periódicas y revistas"
22300000,22000000,"Tarjetas postales, tarjetas de felicitación y otro material impreso"
22400000,22000000,"Sellos, talonarios de cheques, billetes de banco, certificados de acciones, material de publicidad comercial, catálogos y manuales"
22500000,22000000,Clisés o cilindros de imprenta u otros medios de impresión
22600000,22000000,Tinta
22800000,22000000,"Libros registro, libros de contabilidad, clasificadores, impresos y otros artículos de papelería, de papel o cartón"
22900000,22000000,Impresos varios
24100000,24000000,Gases
24200000,24000000,Tintes y pigmentos
24300000,24000000,Productos químicos inorgánicos y orgánicos básicos
24400000,24000000,Abonos y compuestos nitrogenados
24500000,24000000,Materias plásticas en formas primarias
24600000,24000000,Explosivos
24900000,24000000,Productos químicos puros y otros productos químicos
30100000,30000000,"Máquinas, equipo y artículos de oficina, excepto ordenadores, impresoras y mobiliario"
30200000,30000000,Equipo y material informático
31100000,31000000,"Motores, generadores y transformadores eléctricos"
31200000,31000000,Aparatos de distribución y control de electricidad
31300000,31000000,Hilos y cables aislados
31400000,31000000,"Acumuladores, pilas y baterías de pilas"
31500000,31000000,Material de iluminación y lámparas eléctricas
31600000,31000000,Equipo y aparatos eléctricos
31700000,31000000,"Material electrónico, electromecánico y electrotécnico"
32200000,32000000,"Aparatos transmisores de radiotelefonía, radiotelegrafía, radiodifusión y televisión"
32300000,32000000,"Receptores de televisión y radio, y aparatos de grabación o reproducción de sonido o imagen"
32400000,32000000,Redes
32500000,32000000,Equipo y material para telecomunicaciones
33100000,33000000,Equipamiento médico
33600000,33000000,Productos farmacéuticos
33700000,33000000,Productos para la higiene personal
33900000,33000000,Equipo y material para institutos anatómico-forenses y depósitos de cadáveres
34100000,34000000,Vehículos de motor
34200000,34000000,"Carrocerías para vehículos, remolques o semirremolques"
34300000,34000000,Partes y accesorios para vehículos y sus motores
34400000,34000000,"Motocicletas, bicicletas y sidecares"
34500000,34000000,Buques y barcos
34600000,34000000,"Locomotoras de ferrocarril y de tranvía, material móvil y sus partes"
34700000,34000000,Aeronaves y naves espaciales
34900000,34000000,Medios de transporte y piezas de recambio diversos
35100000,35000000,Equipo de emergencia y seguridad
35200000,35000000,Equipo para policía
35300000,35000000,"Armas, municiones y sus partes"
35400000,35000000,Vehículos militares y sus partes
35500000,35000000,Buques de guerra y sus partes
35600000,35000000,"Aeronaves militares, misiles y naves espaciales"
35700000,35000000,Sistemas electrónicos militares
35800000,35000000,Equipo individual y de apoyo
37300000,37000000,Instrumentos musicales y sus partes
37400000,37000000,Artículos y material deportivo
37500000,37000000,Juegos y juguetes; atracciones de feria
37800000,37000000,Artículos para trabajos artesanales y artísticos
38100000,38000000,Instrumentos de navegación y meteorológicos
38200000,38000000,Instrumentos geológicos y geofísicos
38300000,38000000,Instrumentos de medición
38400000,38000000,Instrumentos de medida o control de características físicas
38500000,38000000,Aparatos de control y prueba
38600000,38000000,Instrumentos ópticos
38700000,38000000,Registradores de asistencia y contadores similares; parquímetros
38800000,38000000,Equipo de control de procesos industriales y equipo con mando a distancia
38900000,38000000,Instrumentos de evaluación o ensayo diversos
39100000,39000000,Mobiliario
39200000,39000000,Complementos de mobiliario
39300000,39000000,Equipo diverso
39500000,39000000,Artículos textiles
39700000,39000000,Aparatos domésticos
39800000,39000000,Productos de limpieza y pulido
41100000,41000000,Agua natural
42100000,42000000,Maquinaria para producción y uso de energía mecánica
42200000,42000000,"Máquinas y aparatos para la elaboración de alimentos, bebidas y tabaco, y sus partes"
42300000,42000000,Hornos e incineradores industriales o de laboratorio
42400000,42000000,"Equipos de elevación y manipulación, y sus partes"
42500000,42000000,Equipos de refrigeración y ventilación
42600000,42000000,Máquinas herramienta
42700000,42000000,"Maquinaria para la fabricación de materias textiles, prendas de vestir y cuero"
42800000,42000000,Maquinaria para la producción de papel o cartón
42900000,42000000,Máquinas diversas para usos generales y especiales
43100000,43000000,Equipo para minería
43200000,43000000,"Maquinaria para el movimiento de tierras y la excavación, y sus partes"
43300000,43000000,Maquinaria y equipo de construcción
43400000,43000000,Maquinas y aparatos para la fabricación de moldes de fundición y el tratamiento de minerales
43500000,43000000,Vehículos oruga
43600000,43000000,"Partes de máquinas para la minería, la explotación de canteras y la construcción"
43700000,43000000,Maquinaria para la metalurgia y sus partes
43800000,43000000,Equipo de talleres
44100000,44000000,Materiales de construcción y elementos afines
44200000,44000000,Productos estructurales
44300000,44000000,"Cable, alambre y productos conexos"
44400000,44000000,Productos manufacturados diversos y artículos conexos
44500000,44000000,"Herramientas, cerraduras, llaves, bisagras, elementos de sujeción, cadenas y muelles"
44600000,44000000,"Cisternas, depósitos y contenedores; radiadores y calderas de calefacción central"
44800000,44000000,"Pinturas, barnices y mástiques"
44900000,44000000,"Piedra para construcción, piedra caliza, yeso y pizarra"
45100000,45000000,Trabajos de preparación del terreno
45200000,45000000,Trabajos generales de construcción de inmuebles y obras de ingeniería civil
45300000,45000000,Trabajos de instalación en edificios
45400000,45000000,Acabado de edificios
45500000,45000000,Alquiler de maquinaria y equipo de construcción y de ingeniería civil con maquinista
48100000,48000000,Paquetes de software específico de un sector económico
48200000,48000000,"Paquetes de software de conexión en red, Internet e intranet"
48300000,48000000,"Paquetes de software de creación de documentos, dibujo, tratamiento de imágenes, planificación y productividad"
48400000,48000000,Paquetes de software de transacciones comerciales y personales
48500000,48000000,Paquetes de software de comunicación y multimedia
48600000,48000000,Paquetes de software de bases de datos y de funcionamiento
