clase,grupo,nombre
3110000,3100000,"Cultivos, productos comerciales de jardinería y horticultura"
3120000,3100000,Productos de horticultura y viveros
3130000,3100000,Cultivos de especias y de plantas para bebidas
3140000,3100000,Productos de origen animal y productos afines
3210000,3200000,Cereales y patatas
3220000,3200000,"Hortalizas, frutas y frutos de cáscara"
3310000,3300000,"Pescado, crustáceos y productos acuáticos"
3320000,3300000,Ganado y animales pequeños
3330000,3300000,Productos de animales de granja
3340000,3300000,Marcas auriculares para animales
3410000,3400000,Madera
3420000,3400000,Gomas
3430000,3400000,Corcho
3440000,3400000,Productos de la silvicultura
3450000,3400000,Productos de vivero
3460000,3400000,Pasta de celulosa
9110000,9100000,Combustibles sólidos
9120000,9100000,Combustibles gaseosos
9130000,9100000,Petróleo y destilados
9210000,9200000,Preparados lubricantes
9220000,9200000,"Vaselina, ceras del petróleo y gasolinas especiales"
9230000,9200000,Petróleo (crudo)
9240000,9200000,Productos derivados del carbón o de aceites minerales
9310000,9300000,Electricidad
9320000,9300000,"Vapor, agua caliente y productos afines"
9330000,9300000,Energía solar
9340000,9300000,Combustibles nucleares
14210000,14200000,"Grava, arena, piedras machacadas y agregados"
14220000,14200000,Arcilla y caolín
14310000,14300000,Abonos minerales
14320000,14300000,Minerales químicos
14410000,14400000,Sal gema
14420000,14400000,Sal marina
14430000,14400000,Sal evaporada y cloruro de sodio puro
14450000,14400000,Salmuera
14520000,14500000,Piedras preciosas y semipreciosas; piedra pómez; esmeril; abrasivos naturales; otros minerales y metales preciosos
14610000,14600000,Minerales metálicos
14620000,14600000,Aleaciones
14630000,14600000,"Escoria y batiduras, desperdicios y desechos ferrosos"
14710000,14700000,"Hierro, plomo, zinc, estaño y cobre"
14720000,14700000,"Aluminio, níquel, escandio, titanio y vanadio"
14730000,14700000,"Cromo, manganeso, cobalto, itrio y circonio"
14740000,14700000,"Molibdeno, tecnecio, rutenio y rodio"
14750000,14700000,"Cadmio, lutecio, hafnio, tantalio y wolframio"
14760000,14700000,"Iridio, galio, indio, talio y bario"
14770000,14700000,"Cesio, estroncio, rubidio y calcio"
14780000,14700000,"Potasio, magnesio, sodio y litio"
14790000,14700000,"Niobio, osmio, renio y paladio"
14810000,14800000,Productos abrasivos
14820000,14800000,Vidrio
14830000,14800000,Fibras de vidrio
14910000,14900000,Materias primas metálicas secundarias de recuperación
14920000,14900000,Materias primas no metálicas secundarias de recuperación
14930000,14900000,Cenizas y residuos que contengan metales
15110000,15100000,Carne
15130000,15100000,Productos cárnicos
15210000,15200000,"Filetes de pescado, hígados y huevas de pescado"
15220000,15200000,"Pescado, filetes de pescado y otros tipos de carne de pescado congelados"
15230000,15200000,Pescado seco o salado; en salmuera; ahumado
15240000,15200000,Pescado en conserva o en lata y otros pescados preparados o en conserva
15250000,15200000,Mariscos
15310000,15300000,Patatas y productos a base de patatas
15320000,15300000,Zumos de frutas y hortalizas
15330000,15300000,Frutas y hortalizas elaboradas
15410000,15400000,Aceites y grasas animales o vegetales en bruto
15420000,15400000,Aceites y grasas refinados
15430000,15400000,Grasas comestibles
15510000,15500000,Leche y nata (crema)
15530000,15500000,Mantequilla
15540000,15500000,Queso
15550000,15500000,Productos lácteos diversos
15610000,15600000,Productos de molinería
15620000,15600000,Almidones y productos amiláceos
15710000,15700000,Alimentos preparados para animales de granja y otros animales
15810000,15800000,"Productos de panificación, pasteles y productos de pastelería frescos"
15820000,15800000,Biscotes y galletas; pasteles y productos de pastelería conservados
15830000,15800000,Azúcar y productos conexos
15840000,15800000,Cacao; chocolate y productos de confitería
15850000,15800000,Pastas alimenticias
15860000,15800000,"Café, té y productos conexos"
15870000,15800000,Condimentos y sazonadores
15880000,15800000,Productos alimenticios especiales
15890000,15800000,Productos alimenticios diversos y alimentos secos
15910000,15900000,Bebidas alcohólicas destiladas
15930000,15900000,Vinos
15940000,15900000,Sidra y otros vinos a base de fruta
15950000,15900000,Bebidas fermentadas no destiladas
15960000,15900000,Cerveza de malta
15980000,15900000,Bebidas sin alcohol
15990000,15900000,"Tabaco, productos de tabaco y artículos afines"
16110000,16100000,Arados o gradas de disco
16120000,16100000,"Gradas, escarificadores, cultivadores, escardadoras o binadoras"
16130000,16100000,"Sembradoras, plantadoras o transplantadoras"
16140000,16100000,Esparcidores de estiércol
16150000,16100000,Rodillos para césped o terrenos de deporte
16160000,16100000,Equipo diverso para jardinería
16310000,16300000,Máquinas segadoras
16320000,16300000,Máquinas para henificar
16330000,16300000,Prensas para paja o forraje
16340000,16300000,Cosechadoras y trilladoras
16510000,16500000,Remolques autocargadores para usos agrícolas
16520000,16500000,Remolques autodescargadores para usos agrícolas
16530000,16500000,Semirremolques autocargadores para usos agrícolas
16540000,16500000,Semirremolques autodescargadores para usos agrícolas
16610000,16600000,"Máquinas para la limpieza o la clasificación de huevos, frutas u otros productos agrícolas"
16620000,16600000,Ordeñadoras
16630000,16600000,Máquinas para preparar alimentos para animales
16640000,16600000,Máquinas y aparatos para la apicultura
16650000,16600000,Máquinas y aparatos para la avicultura
16710000,16700000,Motocultores
16720000,16700000,Tractores usados
16730000,16700000,Motores de tracción
16810000,16800000,Partes de maquinaria agrícola
16820000,16800000,Partes de maquinaria forestal
18110000,18100000,Indumentaria de trabajo
18130000,18100000,Ropa para trabajos especiales
18140000,18100000,Accesorios de ropa de trabajo
18210000,18200000,Abrigos
18220000,18200000,Ropa para la intemperie
18230000,18200000,Ropa exterior diversa
18310000,18300000,Ropa interior
18320000,18300000,"Sostenes, corsés, ligas y prendas similares"
18330000,18300000,Camisetas y camisas
18410000,18400000,Prendas de vestir especiales
18420000,18400000,Complementos de vestir
18440000,18400000,Sombreros y tocados
18450000,18400000,Cierres para prendas de vestir
18510000,18500000,Joyas y artículos conexos
18520000,18500000,Relojería para uso personal
18530000,18500000,Regalos y premios
18610000,18600000,Artículos de piel
18620000,18600000,Pieles
18810000,18800000,Calzado distinto del calzado deportivo y de protección
18820000,18800000,Calzado deportivo
18830000,18800000,Calzado de protección
18840000,18800000,Partes de calzado
18910000,18900000,Artículos de talabartería
18920000,18900000,Artículos de viaje
18930000,18900000,Sacos y talegas
19110000,19100000,Cuero agamuzado
19120000,19100000,Cuero de bovinos o equinos
19130000,19100000,"Cuero de oveja, cabra o cerdo"
19140000,19100000,"Piel de otros animales, cuero reconstituido y otros cueros"
19160000,19100000,Correas de reloj
19170000,19100000,Artículos de cuero usados en maquinaria o aparatos mecánicos
19210000,19200000,Tejidos
19220000,19200000,Tejidos de lana
19230000,19200000,Tejidos de lino
19240000,19200000,Tejidos especiales
19250000,19200000,Tejidos de punto o de ganchillo
19260000,19200000,Tela
19270000,19200000,Materias textiles no tejidas
19280000,19200000,"Lana, cueros y pieles"
19410000,19400000,Fibras textiles naturales
19420000,19400000,Fibras textiles artificiales
19430000,19400000,Hilados e hilos textiles de fibras naturales
19440000,19400000,Hilados o hilos sintéticos
19510000,19500000,Productos de caucho
19520000,19500000,Productos de plástico
19610000,19600000,Residuos de cuero
19620000,19600000,Residuos textiles
19630000,19600000,Residuos de caucho
19640000,19600000,Sacos y bolsas de polietileno para residuos
19710000,19700000,Caucho sintético
19720000,19700000,Fibras sintéticas
19730000,19700000,Fibras artificiales
22110000,22100000,Libros impresos
22120000,22100000,Publicaciones
22130000,22100000,Guías
22140000,22100000,Prospectos
22150000,22100000,Folletos
22160000,22100000,Opúsculos
22210000,22200000,Periódicos
22310000,22300000,Tarjetas postales
22320000,22300000,Tarjetas de felicitación
22410000,22400000,Sellos
22420000,22400000,Papel timbrado
22430000,22400000,Billetes de banco
22440000,22400000,Talonarios de cheques
22450000,22400000,Impresos infalsificables
22460000,22400000,"Material de publicidad comercial, catálogos comerciales y manuales"
22470000,22400000,Manuales
22510000,22500000,Planchas offset
22520000,22500000,Equipo de grabado en seco
22610000,22600000,Tinta de imprenta
22810000,22800000,Libros registro de papel o cartón
22820000,22800000,Formularios
22830000,22800000,Cuadernos de ejercicios
22840000,22800000,Álbumes para muestras
22850000,22800000,Clasificadores y accesorios para clasificadores
22990000,22900000,"Papel de periódico, papeles fabricados a mano y otros papeles y cartones sin recubrir, para usos gráficos"
24110000,24100000,Gases industriales
24210000,24200000,"Óxidos, peróxidos e hidróxidos"
24220000,24200000,Extractos curtientes o tintóreos; taninos y materias colorantes
24310000,24300000,Productos químicos inorgánicos básicos
24320000,24300000,Productos químicos orgánicos básicos
24410000,24400000,Abonos nitrogenados
24420000,24400000,Abonos fosfatados
24430000,24400000,Abonos de origen animal o vegetal
24440000,24400000,Abonos diversos
24450000,24400000,Productos agroquímicos
24510000,24500000,Polímeros de etileno en formas primarias
24520000,24500000,Polímeros de propileno en formas primarias
24530000,24500000,Polímeros de estireno en formas primarias
24540000,24500000,Polímeros de vinilo en formas primarias
24550000,24500000,Poliésteres en formas primarias
24560000,24500000,Poliamidas en formas primarias
24570000,24500000,Resinas uréicas en formas primarias
24580000,24500000,Resinas amínicas en formas primarias
24590000,24500000,Siliconas en formas primarias
24610000,24600000,Explosivos preparados
24910000,24900000,Colas
24920000,24900000,Aceites esenciales
24930000,24900000,Productos químicos para fotografía
24950000,24900000,Productos químicos para fines específicos
24960000,24900000,Productos químicos diversos
30110000,30100000,Máquinas de tratamiento de textos
30120000,30100000,"Fotocopiadoras, máquinas offset e impresoras"
30130000,30100000,Equipo para oficinas de correos
30140000,30100000,Máquinas de calcular y máquinas de contabilidad
30150000,30100000,Máquinas de escribir
30160000,30100000,Tarjetas magnéticas
30170000,30100000,Etiquetadoras
30180000,30100000,Máquinas de escribir y endosar cheques
30190000,30100000,Equipo y artículos de oficina diversos
30210000,30200000,Máquinas procesadoras de datos (hardware)
30220000,30200000,Equipo de cartografía digital
30230000,30200000,Equipo relacionado con la informática
31110000,31100000,Motores eléctricos
31120000,31100000,Generadores
31130000,31100000,Alternadores
31140000,31100000,Torres de enfriamiento
